,attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
39,401,Jätehuone,"{""fi"":""Onko rakennuksessa jätehuone?"", ""sv"":""[Svenska]Onko rakennuksessa jätehuone?"", ""en"":""[English]Onko rakennuksessa jätehuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
40,402,Siivoustila,"{""fi"":""Onko rakennuksessa siivoustila?"", ""sv"":""[Svenska]Onko rakennuksessa siivoustila?"", ""en"":""[English]Onko rakennuksessa siivoustila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
41,403,Varasto,"{""fi"":""Onko rakennuksessa varasto?"", ""sv"":""[Svenska]Onko rakennuksessa varasto?"", ""en"":""[English]Onko rakennuksessa varasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
42,404,VSS,"{""fi"":""Onko rakennuksessa vss?"", ""sv"":""[Svenska]Onko rakennuksessa vss?"", ""en"":""[English]Onko rakennuksessa vss?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
43,405,Siivouskeskus,"{""fi"":""Onko rakennuksessa siivouskeskus?"", ""sv"":""[Svenska]Onko rakennuksessa siivouskeskus?"", ""en"":""[English]Onko rakennuksessa siivouskeskus?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
44,406,Siivouskomero,"{""fi"":""Onko rakennuksessa siivouskomero?"", ""sv"":""[Svenska]Onko rakennuksessa siivouskomero?"", ""en"":""[English]Onko rakennuksessa siivouskomero?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
45,407,Siivous,"{""fi"":""Onko rakennuksessa siivous?"", ""sv"":""[Svenska]Onko rakennuksessa siivous?"", ""en"":""[English]Onko rakennuksessa siivous?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
46,408,VSS-tekniikka- ja välinevaraus,"{""fi"":""Onko rakennuksessa vss-tekniikka- ja välinevaraus?"", ""sv"":""[Svenska]Onko rakennuksessa vss-tekniikka- ja välinevaraus?"", ""en"":""[English]Onko rakennuksessa vss-tekniikka- ja välinevaraus?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
47,5,Osastoiva liikenne,"{""fi"":""Onko rakennuksessa osastoiva liikenne?"", ""sv"":""[Svenska]Onko rakennuksessa osastoiva liikenne?"", ""en"":""[English]Onko rakennuksessa osastoiva liikenne?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
48,501,Porrasaula,"{""fi"":""Onko rakennuksessa porrasaula?"", ""sv"":""[Svenska]Onko rakennuksessa porrasaula?"", ""en"":""[English]Onko rakennuksessa porrasaula?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
49,502,Porrashuone,"{""fi"":""Onko rakennuksessa porrashuone?"", ""sv"":""[Svenska]Onko rakennuksessa porrashuone?"", ""en"":""[English]Onko rakennuksessa porrashuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
50,6,Palveluasuminen,"{""fi"":""Onko rakennuksessa palveluasuminen?"", ""sv"":""[Svenska]Onko rakennuksessa palveluasuminen?"", ""en"":""[English]Onko rakennuksessa palveluasuminen?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
51,601,"WC-pesuhuone, esteetön","{""fi"":""Onko rakennuksessa wc-pesuhuone, esteetön?"", ""sv"":""[Svenska]Onko rakennuksessa wc-pesuhuone, esteetön?"", ""en"":""[English]Onko rakennuksessa wc-pesuhuone, esteetön?""}",1.0,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
52,7,Tietotyö,"{""fi"":""Onko rakennuksessa tietotyö?"", ""sv"":""[Svenska]Onko rakennuksessa tietotyö?"", ""en"":""[English]Onko rakennuksessa tietotyö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
53,701,Keskittymistila,"{""fi"":""Onko rakennuksessa keskittymistila?"", ""sv"":""[Svenska]Onko rakennuksessa keskittymistila?"", ""en"":""[English]Onko rakennuksessa keskittymistila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
54,702,Työpistealue,"{""fi"":""Onko rakennuksessa työpistealue?"", ""sv"":""[Svenska]Onko rakennuksessa työpistealue?"", ""en"":""[English]Onko rakennuksessa työpistealue?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
55,703,Toimistotila,"{""fi"":""Onko rakennuksessa toimistotila?"", ""sv"":""[Svenska]Onko rakennuksessa toimistotila?"", ""en"":""[English]Onko rakennuksessa toimistotila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
56,704,Toimistohuone,"{""fi"":""Onko rakennuksessa toimistohuone?"", ""sv"":""[Svenska]Onko rakennuksessa toimistohuone?"", ""en"":""[English]Onko rakennuksessa toimistohuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
57,705,Neuvottelualue,"{""fi"":""Onko rakennuksessa neuvottelualue?"", ""sv"":""[Svenska]Onko rakennuksessa neuvottelualue?"", ""en"":""[English]Onko rakennuksessa neuvottelualue?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
58,706,Neuvottelutila,"{""fi"":""Onko rakennuksessa neuvottelutila?"", ""sv"":""[Svenska]Onko rakennuksessa neuvottelutila?"", ""en"":""[English]Onko rakennuksessa neuvottelutila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
