attribute_id,attribute_name,attribute_question,group_id,active
1104,Ulkovarasto,"{'fi':'Onko rakennuksessa ulkovarasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
12,Saunominen,"{'fi':'Onko rakennuksessa saunominen','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
13,Kauppa,"{'fi':'Onko rakennuksessa kauppa?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1301,Kassa-alue,"{'fi':'Onko rakennuksessa kassa-alue?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1302,Laitetila,"{'fi':'Onko rakennuksessa laitetila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1303,Myyntialue,"{'fi':'Onko rakennuksessa myyntialue?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1304,Varastotila,"{'fi':'Onko rakennuksessa varastotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1305,Palvelupiste,"{'fi':'Onko rakennuksessa palvelupiste?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1306,Sovitustila,"{'fi':'Onko rakennuksessa sovitustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1307,Varastohalli,"{'fi':'Onko rakennuksessa varastohalli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1308,Liiketila,"{'fi':'Onko rakennuksessa liiketila','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
14,Muu toiminta,"{'fi':'Onko rakennuksessa muu toiminta','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
1401,Valmistuskeittiö,"{'fi':'Onko rakennuksessa valmistuskeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'Valmistuskeittiö on huonetila, jossa ruoan valmistus tapahtuu paistamalla pannussa, parilalla, uunissa tai uppokeittämällä rasvassa.','sv':'','en':''}"
1402,ATK-opetustila,"{'fi':'Onko rakennuksessa atk-opetustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1403,Kappelisali,"{'fi':'Onko rakennuksessa kappelisali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
